Run,Loc_Score,Angle_Score,stddev,gamma,d_long,d_short,k1,k2,k3,k4
10,8.02341,0.33309,0.24534206180685103,0.8727044454282509,1.468213481597994,0.2274990321884025,0.09035394664798724,0.3346399596109676,0.3957009066947108,0.1957148492621404
11,7.96542,0.33418,0.1982895473581464,0.9497035453515495,1.3601557598434335,0.23247190903201126,0.22344574547717488,0.2525265506828107,0.41724029190916967,0.3962481934187998
12,7.99446,0.33754,0.2980410119040826,0.2924510928280922,1.3481270174218665,0.23780141983759853,0.29402239873008335,0.24810253977693142,0.3172782078491065,0.017266035070927527
13,7.9268,0.32644,0.10980017507645144,0.49021073329727394,1.4631936899408773,0.23246742681619717,0.26399084446987003,0.2776808063401453,0.3143849175130521,0.10994890627593301
14,7.94381,0.34001,0.25953839987522553,0.3327539067030407,1.3630198445994732,0.22986456921092974,0.05898239871742575,0.1529452636482849,0.44646751125483364,0.04866020564009562
15,7.96851,0.31723,0.06274886546405588,0.15098130386898237,1.3244548499879867,0.2965038373660144,0.1006599340448629,0.021877912299652365,0.24385172998707585,0.05929489308151069
16,7.99351,0.33234,0.2630631674718822,0.32871751844471186,1.4315467868480491,0.293734143785503,0.11146438835590877,0.10876037760950566,0.27594124647793433,0.08987937487683319
17,7.91896,0.33671,0.1337781394094844,0.21645467824857237,1.439485255547235,0.20262521494748964,0.1721055423980319,0.24893274128369272,0.33333199514472756,0.19590736319996988
18,7.99862,0.3468,0.1213407879939422,0.5083466935562205,1.305418559230293,0.23305365914884227,0.1458012876646841,0.26146942608625706,0.24238654405703555,0.12326360315260972
19,7.99022,0.34919,0.05599565045946968,0.5740708710207622,1.405516684541696,0.22851069813918126,0.25471488612553767,0.18222800612446977,0.24570821823085828,0.2980552097025474
20,8.06076,0.3628,0.20787151116485442,0.8361346812339191,1.4589579616456076,0.2675126148586209,0.4169098869442411,0.0832489816797605,0.22951693543229654,0.17240554474505576
21,8.01641,0.33448,0.11656150490871671,0.8042126506116616,1.4464864262393193,0.2945142366810625,0.2939356205556089,0.15856766006381331,0.4161926966176147,0.28228834119355684
22,7.97513,0.3183,0.2692626839222254,0.5400312490388111,1.467821290606189,0.22687674996148416,0.3626030372856967,0.3428890339951634,0.3323921297204947,0.23039960999438794
23,8.01905,0.34535,0.08879883250262742,0.5926249853677337,1.448028657444676,0.2034297259408595,0.3714015349778611,0.17500722290779236,0.3739749937708622,0.25312026032027457
24,8.01126,0.32577,0.26420653290176505,0.16179855449620992,1.372476470368761,0.22351213765632894,0.3805029458272244,0.04238684739277029,0.42073918081726325,0.277458798365573
25,7.89313,0.34145,0.21150232133772062,0.44460481412903974,1.4239642261926106,0.2711107359322163,0.32159574804745594,0.1688604766067589,0.3578918938078929,0.2740538850637236
26,7.98152,0.32275,0.214673183340719,0.7004139953440109,1.4322205454574992,0.2240341104253953,0.22386716272885593,0.3416309442231729,0.3362079729976131,0.3487044715669448
27,7.92874,0.338,0.10684532251772748,0.8275720304659202,1.4957896481629294,0.2153632307827081,0.1742367838023624,0.05690356886938312,0.3409176866034863,0.13197492476083098
28,8.07706,0.33483,0.20055762594028753,0.6208776464307174,1.4117809843840976,0.21921284903187963,0.1985484081605503,0.06857705104484717,0.380406156842389,0.09667984424460184
29,8.02452,0.37529,0.24449214191873836,0.5048348551107007,1.327889259744934,0.26113937630163,0.2193830561097581,0.0898897589499735,0.18517190928996297,0.2842370314098972
30,7.90646,0.33749,0.08080478650022517,0.7038145641259813,1.4354658008222363,0.25891459477311574,0.19049706022003915,0.3211768396667932,0.41815761626862624,0.02318218713942851
31,8.03652,0.33231,0.15325329124865533,0.22926377829996555,1.4712141648097892,0.28282618648341407,0.288378263832416,0.3274954625214286,0.3382397312346651,0.28387964442055685
32,8.01661,0.3518,0.05519658095700668,0.7372927588202509,1.360159938416152,0.281933782746862,0.41900723207473595,0.16708243962120664,0.185840611442124,0.1597088883237906
33,7.92814,0.33755,0.2528991819956249,0.1710711705532802,1.4359005911116904,0.2743346241188081,0.11056070629098654,0.22204410773342406,0.32623545140973476,0.03614648149233539
34,8.02402,0.35967,0.2175774612286589,0.6931016678177263,1.4135071724328236,0.2525270961444717,0.1820886480105482,0.2892356671072425,0.2686194875585438,0.2326117179511245
35,7.96427,0.38196,0.27832060437538153,0.36080509592007504,1.394237243531386,0.2562582429773818,0.399533394339469,0.33414526727645777,0.17475895840013508,0.2596717700669168
36,7.94331,0.37258,0.23381460338792348,0.2462429219986405,1.3207953588012307,0.29243364734293503,0.3275603156504276,0.03103301927018682,0.36252472732708474,0.17582342903230133
37,7.92878,0.34232,0.16669839360628436,0.6752165862710534,1.3379072775541407,0.28688127657632245,0.30711994788359875,0.22060369896603366,0.42391462995048346,0.11414986782487932
38,7.98301,0.32033,0.11590149222849007,0.1252961103112769,1.3225222634650426,0.20446925209413777,0.43883758918025617,0.040092403289834364,0.35096080666861595,0.22656563562800816
39,7.96362,0.35013,0.09988088533115248,0.5361668989017022,1.348934009509295,0.2696985623116555,0.06322407418548953,0.34845138075157794,0.24233165414675945,0.0739026357117953
40,7.95815,0.34888,0.08472719837387023,0.7538415648803473,1.4462228688409953,0.2916248943903993,0.13586684671250915,0.16196965168507257,0.4316103852014731,0.37003087010683944
41,8.01294,0.33579,0.2690963037871428,0.21983618818440576,1.4791497515967735,0.24123013977009294,0.34027163138294164,0.30143922449722543,0.40140884926557385,0.06858882213040132
